sb,side,k,pos,idx,reg,a,G,geom,dev,cumS,Sraw,S,Srem,smax,bpt,dhat
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,1047.0,660.31,660.31,0.00,30.328,19.9278,19.9300,46.820,87.715,"(310504.7120,2651954.2739)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,457.0,273.41,273.41,0.00,8.445,8.4454,8.4500,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1255.0,731.08,731.08,0.00,30.496,22.0503,22.0500,78.868,87.313,"(310457.3722,2652004.2943)","(0.68738,-0.72630)"
0.0,R,628(5),4,3,382.91,553.9,332.10,332.10,0.00,10.400,10.4000,10.4000,57.220,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
